time_iso8601,stars_cumulative
2020-03-17 00:00:00+00:00,1524
2020-03-18 00:00:00+00:00,1530
2020-03-19 00:00:00+00:00,1534
2020-03-20 00:00:00+00:00,1537
2020-03-22 00:00:00+00:00,1538
2020-03-23 00:00:00+00:00,1545
2020-03-24 00:00:00+00:00,1553
2020-03-25 00:00:00+00:00,1560
2020-03-26 00:00:00+00:00,1562
2020-03-27 00:00:00+00:00,1565
2020-03-28 00:00:00+00:00,1566
2020-03-29 00:00:00+00:00,1568
2020-03-30 00:00:00+00:00,1569
2020-03-31 00:00:00+00:00,1573
2020-04-02 00:00:00+00:00,1575
2020-04-03 00:00:00+00:00,1576
2020-04-04 00:00:00+00:00,1578
2020-04-05 00:00:00+00:00,1581
2020-04-07 00:00:00+00:00,1585
2020-04-08 00:00:00+00:00,1590
2020-04-09 00:00:00+00:00,1594
2020-04-10 00:00:00+00:00,1597
2020-04-11 00:00:00+00:00,1599
2020-04-12 00:00:00+00:00,1602
2020-04-13 00:00:00+00:00,1606
2020-04-14 00:00:00+00:00,1609
2020-04-15 00:00:00+00:00,1615
2020-04-16 00:00:00+00:00,1616
2020-04-17 00:00:00+00:00,1618
2020-04-18 00:00:00+00:00,1619
2020-04-21 00:00:00+00:00,1620
2020-04-22 00:00:00+00:00,1622
2020-04-23 00:00:00+00:00,1623
2020-04-24 00:00:00+00:00,1625
2020-04-26 00:00:00+00:00,1631
2020-04-27 00:00:00+00:00,1634
2020-04-28 00:00:00+00:00,1637
2020-04-29 00:00:00+00:00,1641
2020-04-30 00:00:00+00:00,1646
2020-05-01 00:00:00+00:00,1648
2020-05-02 00:00:00+00:00,1649
2020-05-04 00:00:00+00:00,1652
2020-05-05 00:00:00+00:00,1653
2020-05-06 00:00:00+00:00,1655
2020-05-07 00:00:00+00:00,1659
2020-05-08 00:00:00+00:00,1662
2020-05-09 00:00:00+00:00,1663
2020-05-10 00:00:00+00:00,1664
2020-05-11 00:00:00+00:00,1669
2020-05-12 00:00:00+00:00,1676
2020-05-13 00:00:00+00:00,1683
2020-05-14 00:00:00+00:00,1685
2020-05-15 00:00:00+00:00,1688
2020-05-16 00:00:00+00:00,1689
2020-05-18 00:00:00+00:00,1693
2020-05-19 00:00:00+00:00,1696
2020-05-20 00:00:00+00:00,1699
2020-05-21 00:00:00+00:00,1726
2020-05-22 00:00:00+00:00,1737
2020-05-23 00:00:00+00:00,1746
2020-05-24 00:00:00+00:00,1747
2020-05-25 00:00:00+00:00,1753
2020-05-26 00:00:00+00:00,1775
2020-05-27 00:00:00+00:00,1779
2020-05-28 00:00:00+00:00,1787
2020-05-29 00:00:00+00:00,1794
2020-05-30 00:00:00+00:00,1796
2020-05-31 00:00:00+00:00,1797
2020-06-01 00:00:00+00:00,1802
2020-06-02 00:00:00+00:00,1808
2020-06-04 00:00:00+00:00,1811
2020-06-05 00:00:00+00:00,1813
2020-06-06 00:00:00+00:00,1815
2020-06-07 00:00:00+00:00,1816
2020-06-08 00:00:00+00:00,1818
